,names
1082,Lactarius fuliginosus
1083,Lactarius fulvissimus
1084,Lactarius fumosus
1085,Lactarius glyciosmus
1086,Lactarius helvus
1087,Lactarius hemicyaneus
1088,Lactarius hepaticus
1089,Lactarius indigo
1090,Lactarius intermedius
1091,Lactarius lacunarum
1092,Lactarius lilacinus
1093,Lactarius luridus
1094,Lactarius mitissimus
1095,Lactarius musteus
1096,Lactarius necator
1097,Lactarius pallidus
1098,Lactarius pergamenus
1099,Lactarius piperatus
1100,Lactarius pterosporus
1101,Lactarius pubescens
1102,Lactarius pyrogalus
1103,Lactarius quieticolor
1104,Lactarius quietus
1105,Lactarius repraesentaneus
1106,Lactarius resimus
1107,Lactarius rufus
1108,Lactarius rugatus
1109,Lactarius salmonicolor
1110,Lactarius sanguifluus
1111,Lactarius scrobiculatus
1112,Lactarius semisanguifluus
1113,Lactarius serifluus
1114,Lactarius sphagneti
1115,Lactarius spinosulus
1116,Lactarius subdulcis
1117,Lactarius subsericatus
1118,Lactarius subumbonatus
1119,Lactarius tabidus
1120,Lactarius tesquorum
1121,Lactarius torminosus
1122,Lactarius trivialis
1123,Lactarius turpis
1124,Lactarius uvidus
1125,Lactarius vellereus
1126,Lactarius vinosus
1127,Lactarius violascens
1128,Lactarius volemus
1129,Lactarius zonarius
1130,Lactarius zugazae
1131,Laetiporus sulphureus
1132,Langermannia gigantea
1133,Lanmaoa fragrans
1134,Laurobasidium lauri
1135,Leccinellum crocipodium
1136,Leccinellum lepidum
1137,Leccinum aurantiacum
1138,Leccinum carpini
1139,Leccinum corsicum
1140,Leccinum crocipodium
1141,Leccinum diurusculum
1142,Leccinum holopus
1143,Leccinum lepidum
1144,Leccinum molle
1145,Leccinum quercinum
1146,Leccinum roseofractum
1147,Leccinum rotundifoliae
1148,Leccinum scabrum
1149,Leccinum variicolor
1150,Leccinum versipelle
1151,Leccinum versipellis
1152,Leccinum vulpinum
1153,Lentinellus cochleatus
1154,Lentinellus micheneri
1155,Lentinellus ursinus
1156,Lentinellus vulpinus
1157,Lentinula edodes
1158,Lentinus edodes
1159,Lentinus lepideus
1160,Lentinus strigosus
1161,Lentinus tigrinus
1162,Lentinus torulosus
1163,Lenzites betulina
1164,Lenzites warneri
1165,Leocarpus fragilis
1166,Leotia atrovirens
1167,Leotia lubrica
1168,Lepiota alba
1169,Lepiota aspera
1170,Lepiota brunneoincarnata
1171,Lepiota castanea
1172,Lepiota clypeolearia
1173,Lepiota cristata
1174,Lepiota echinacea
1175,Lepiota erminea
1176,Lepiota forguignonii
1177,Lepiota fulvella
1178,Lepiota helveola
1179,Lepiota ignicolor
1180,Lepiota ignivolvata
1181,Lepiota josserandii
1182,Lepiota kuehneriana
1183,Lepiota lilacea
1184,Lepiota ochraceodisca
1185,Lepiota oreadiformis
1186,Lepiota pseudohelveola
1187,Lepiota setulosa
1188,Lepiota sp
1189,Lepiota ventriosospora
1190,Lepiota xanthophylla
1191,Lepista flaccida
1192,Lepista glaucocana
1193,Lepista inversa
1194,Lepista irina
1195,Lepista luscina
1196,Lepista nebularis
1197,Lepista nuda
1198,Lepista panaeolus
1199,Lepista personata
1200,Lepista rickenii
1201,Lepista saeva
1202,Lepista sordida
1203,Leptoporus mollis
1204,Leucoagaricus badhamii
1205,Leucoagaricus barssii
1206,Leucoagaricus bresadolae
1207,Leucoagaricus leucothites
1208,Leucoagaricus marriagei
1209,Leucoagaricus melanotrichus
1210,Leucoagaricus sereno
1211,Leucocoprinus badhamii
1212,Leucocoprinus castroi
1213,Leucocoprinus cepaestipes
1214,Leucocortinarius bulbiger
1215,Leucocybe connata
1216,Leucogyrophana mollusca
1217,Leucogyrophana pinastri
1218,Leucogyrophana romellii
1219,Leucopaxillus albissimus
1220,Leucopaxillus amarus
1221,Leucopaxillus candidus
1222,Leucopaxillus compactus
1223,Leucopaxillus gentianeus
1224,Leucopaxillus giganteus
1225,Leucopaxillus lepistoides
1226,Leucopaxillus paradoxus
1227,Leucoscypha patavina
1228,Lichenomphalia velutina
1229,Limacella guttata
1230,Limacella illinita
1231,Loculotuber gennadii
1232,Lopharia spadicea
1233,Loweomyces fractipes
1234,Lycogala epidendrum
1235,Lycoperdon echinatum
1236,Lycoperdon ericaceum
1237,Lycoperdon foetidum
1238,Lycoperdon lambinonii
1239,Lycoperdon mammiforme
1240,Lycoperdon molle
1241,Lycoperdon nigrescens
1242,Lycoperdon perlatum
1243,Lycoperdon pyriforme
1244,Lycoperdon umbrinum
1245,Lycoperdon utriforme
1246,Lycoperdon utriformis
1247,Lyophyllum connatum
1248,Lyophyllum decastes
1249,Lyophyllum fumosum
1250,Lyophyllum infumatum
1251,Lyophyllum loricatum
1252,Lyophyllum transforme
1253,Lysurus cruciatus
1254,Lysurus periphragmoides
1255,Macowanites ammophilus
1256,Macrocystidia cucumis
1257,Macrolepiota affinis
1258,Macrolepiota excoriata
1259,Macrolepiota konradii 
1260,Macrolepiota mastoidea
1261,Macrolepiota olivascens
1262,Macrolepiota phaeodisca
1263,Macrolepiota procera
1264,Macrolepiota rachodes
1265,Macrolepiota rhacodes
1266,Macrolepiota rickenii
1267,Macrolepiota venenata
1268,Macrotyphula fistulosa
1269,Macrotyphula juncea
1270,Marasmiellus candidus
1271,Marasmiellus maas-geesterani
1272,Marasmiellus ramealis
1273,Marasmiellus vaillantii
1274,Marasmius alliaceus
1275,Marasmius androsaceus
1276,Marasmius anomalus
1277,Marasmius cohaerens
1278,Marasmius collinus
1279,Marasmius epiphyllus
1280,Marasmius graminum
1281,Marasmius hudsonii
1282,Marasmius oreades
1283,Marasmius rotula
1284,Marasmius scorodonius
1285,Marasmius wynnei
1286,Mariaella bovina
1287,Megacollybia platyphylla
1288,Melanogaster tuberiformis
1289,Melanogaster variegatus
1290,Melanoleuca brevipes
1291,Melanoleuca cognata
1292,Melanoleuca evenosa
1293,Melanoleuca excissa
1294,Melanoleuca graminicola
1295,Melanoleuca grammopodia
1296,Melanoleuca melaleuca
1297,Melanoleuca robertiana
1298,Melanoleuca strictipes
1299,Melanoleuca vulgaris
1300,Meripilus giganteus
1301,Merulius tremellosus
1302,Metatrichia vesparium
1303,Microglossum cyanobasis
1304,Microglossum nudipes
1305,Microglossum olivaceum
1306,Micromphale brassicolens
1307,Micromphale foetidum
1308,Micromphale perforans
1309,Mitrophora semilibera
1310,Mitrula paludosa
1311,Montagnea arenaria
1312,Morchella  conica
1313,Morchella conica
1314,Morchella costata
1315,Morchella deliciosa
1316,Morchella elata
1317,Morchella esculenta
1318,Morchella hortensis
1319,Morchella importuna
1320,Morchella rotunda
1321,Morchella semilibera
1322,Morchella sp
1323,Morchella vulgaris
1324,Mucilago crustacea
1325,Mutinus caninus
1326,Mycena abramsii
1327,Mycena acicula
1328,Mycena aetites
1329,Mycena arcangeliana
1330,Mycena capillaripes
1331,Mycena corynephora
1332,Mycena crocata
1333,Mycena diosma
1334,Mycena epipterygia
1335,Mycena galericulata
1336,Mycena galopus
1337,Mycena haematopus
1338,Mycena inclinata
1339,Mycena latifolia
1340,Mycena leptocephala
1341,Mycena maculata
1342,Mycena pearsoniana
1343,Mycena pelianthina
1344,Mycena polygramma
1345,Mycena pseudocorticola
1346,Mycena pura
1347,Mycena renati
1348,Mycena rosea
1349,Mycena seynii
1350,Mycena stipata
1351,Mycena tenerrima
1352,Mycena vitilis
1353,Mycena vulgaris
1354,Mycenastrum corium
1355,Myriostoma coliforme
1356,Myxarium nucleatum
1357,Myxomphalia maura
1358,Naucoria melinoides
1359,Naucoria scolecina
1360,Neoboletus erythropus
1361,Neoboletus junquilleus
1362,Neoboletus praestigiator
1363,Neobulgaria pura
1364,Odonticium monfraguense
1365,Omphalina obatra
1366,Omphalina obscurata
1367,Omphalina pyxidata
1368,Omphalina rosella
1369,Omphalina vesuviana
1370,Omphalotus illudens
1371,Omphalotus japonicus
1372,Omphalotus nidiformis
1373,Omphalotus olearius
1374,Omphalotus olivascens
1375,Onnia tomentosa
1376,Onygena corvina
1377,Onygena equina
1378,Orbilia delicatula
1379,Ossicaulis lignatilis
1380,Otidea cochleata
1381,Otidea concinna
1382,Otidea onotica
1383,Oudemansiella mucida
1384,Pachyella violaceonigra
1385,Panaeolina foenisecii
1386,Panaeolus acuminatus
1387,Panaeolus ater
1388,Panaeolus cinctulus
1389,Panaeolus fimicola
1390,Panaeolus papilionaceus
1391,Panaeolus retirugis
1392,Panaeolus rickenii
1393,Panaeolus semiovatus
1394,Panaeolus sp
1395,Panaeolus sphinctrinus
1396,Panellus mitis
1397,Panellus serotinus
1398,Panellus stypticus
1399,Paralepista flaccida
1400,Paralepista gilva
1401,Paralepista inversa
1402,Paralepistopsis acromelalga
1403,Paralepistopsis amoenolens
1404,Parasola conopilus
1405,Paxillus atrotomentosus
1406,Paxillus filamentosus
1407,Paxillus involutus
1408,Paxillus panuoides
1409,Paxillus rubicundulus
1410,Paxina queletii
1411,Peckiella lateritia
1412,Peniophora quercina
1413,Perenniporia fraxinea
1414,Peroneutypa scoparia
1415,Peziza ammophila
1416,Peziza arvernensis
1417,Peziza badia
1418,Peziza badioconfusa
1419,Peziza cerea
1420,Peziza praetervisa
1421,Peziza succosella
1422,Peziza varia
1423,Peziza vesiculosa
1424,Phaeolepiota aurea
1425,Phaeolus schweinitzii
1426,Phaeomarasmius erinaceus
1427,Phallus hadriani
1428,Phallus impudicus
1429,Phallus rubicundus
1430,Phellinus pini
1431,Phellinus pomaceus
1432,Phellinus ribis
1433,Phellinus robustus
1434,Phellinus torulosus
1435,Phellinus trivialis
1436,Phellinus tuberculosus
1437,Phellodon confluens
1438,Phellodon niger
1439,Phellodon tomentosus
1440,Phlebia radiata
1441,Phlebia rufa
1442,Phlebia tremellosa
1443,Pholiota adiposa
1444,Pholiota alnicola
1445,Pholiota aurivella
1446,Pholiota flammans
1447,Pholiota flavida
1448,Pholiota gummosa
1449,Pholiota highlandensis
1450,Pholiota jahnii
1451,Pholiota lenta
1452,Pholiota lubrica
1453,Pholiota lucifera
1454,Pholiota mixta
1455,Pholiota nameko
1456,Pholiota pinicola
1457,Pholiota populnea
1458,Pholiota squarrosa
1459,Pholiota tuberculosa
1460,Pholiotina aporos
1461,Pholiotina rugosa
1462,Pholiotina sp
1463,Phylloporus rhodoxanthus
1464,Phyllotopsis nidulans
1465,Physarum leucophaeum
1466,Picoa lefebvrei
1467,Pilobolus kleinii
1468,Piptoporus betulinus
1469,Pisolithus arhizus
1470,Pithya  cupressina
1471,Plectania melastoma
1472,Pleurocybella porrigens
1473,Pleurotus
1474,Pleurotus citrinopileatus
1475,Pleurotus cornucopiae
1476,Pleurotus cystidiosus
1477,Pleurotus djamor
1478,Pleurotus dryinus
1479,Pleurotus eryngii
1480,Pleurotus fabellatus
1481,Pleurotus nebrodensis
1482,Pleurotus ostreatus
1483,Pleurotus pulmonarius
1484,Pleurotus sajor-caju
1485,Pleurotus tuber-regium
1486,Plicaturopsis crispa
1487,Pluteus aurantiorugosus
1488,Pluteus brunneoradiatus
1489,Pluteus cervinus
1490,Pluteus leoninus
1491,Pluteus nanus
1492,Pluteus nigroviridis
1493,Pluteus pallescens
1494,Pluteus pellitus
1495,Pluteus petasatus
1496,Pluteus phlebophorus
1497,Pluteus pouzarianus
1498,Pluteus romellii
1499,Pluteus salicinus
1500,Polyozellus multiplex
1501,Polyporus arcularius
1502,Polyporus badius
1503,Polyporus brumalis
1504,Polyporus lepideus
1505,Polyporus meridionalis
1506,Polyporus mylittae
1507,Polyporus squamosus
1508,Polyporus tuberaster
1509,Polyporus tunetanus
1510,Polyporus umbellatus
1511,Polyporus varius
1512,Poronia punctata
1513,Porphyrellus porphyrosporus
1514,Porpolomopsis calyptriformis
1515,Postia stiptica
1516,Protostropharia semiglobata
1517,Psathyrella bipellis
1518,Psathyrella candolleana
1519,Psathyrella conopilus
1520,Psathyrella corrugis
1521,Psathyrella fatua
1522,Psathyrella gracilis
1523,Psathyrella hydrophila
1524,Psathyrella lacrymabunda
1525,Psathyrella marcescibilis
1526,Psathyrella multipedata
1527,Psathyrella niveobadia
1528,Psathyrella ochracea
1529,Psathyrella pennata
1530,Psathyrella phegophila
1531,Psathyrella spadiceogrisea
1532,Psathyrella squamosa
1533,Psathyrella subnuda
1534,Pseudoboletus parasiticus
1535,Pseudoclitocybe cyathiformis
1536,Pseudoclitopilus rhodoleucus
1537,Pseudocraterellus undulatus
1538,Pseudohydnum gelatinosum
1539,Pseudombrophila guldeniae
1540,Psilocybe antillarum
1541,Psilocybe coprophila
1542,Psilocybe hepatochrous
1543,Psilocybe liniformans
1544,Psilocybe merdaria
1545,Psilocybe montana
1546,Psilocybe rhombispora
1547,Psilocybe semilanceata
1548,Psilocybe sp
1549,Pulcherricium caeruleum
1550,Pulveroboletus hemichrysus
1551,Pulveroboletus lignicola
1552,Pycnoporus cinnabarinus
1553,Pyrenopeziza benesuada
1554,Ramaria abietina
1555,Ramaria aurea
1556,Ramaria botrytis
1557,Ramaria cedretorum
1558,Ramaria fennica
1559,Ramaria flava
1560,Ramaria flavescens
1561,Ramaria formosa
1562,Ramaria fumigata
1563,Ramaria gracilis
1564,Ramaria largentii
1565,Ramaria neoformosa
1566,Ramaria pallida
1567,Ramaria sanguinea
1568,Ramaria stricta
1569,Ramaria subbotrytis
1570,Ramariaceae
1571,Resupinatus applicatus
1572,Reticularia lycoperdon
1573,Rheubarbariboletus armeniacus
1574,Rhizina undulata
1575,Rhizopogdon luteolas
1576,Rhizopogon luteolus
1577,Rhizopogon roseolus
1578,Rhizopogon vulgaris
1579,Rhodocollybia butyracea
1580,Rhodocollybia butyraceae.
1581,Rhodocollybia maculata
1582,Rhodocybe  gemina
1583,Rhodocybe gemina
1584,Rhodocybe hirneola
1585,Rhodocybe nitellina
1586,Rhodotus palmatus
1587,Rickenella  fibula
1588,Rickenella fibula
1589,Rickenella swartzii
1590,Rimbachia neckerae
1591,Ripartites metrodii
1592,Rosellinia aquila
1593,Rozites caperatus
1594,Rubroboletus legaliae
1595,Rubroboletus lupinus
1596,Rubroboletus pulcherrimus
1597,Rubroboletus satanas
1598,Ruhlandiella berolinensis
1599,Russula
1600,Russula acrifolia
1601,Russula adusta
1602,Russula aeruginea
1603,Russula albonigra
1604,Russula amarissima
1605,Russula amoena
1606,Russula amoenicolor
1607,Russula amoenolens
1608,Russula anthracina
1609,Russula aquosa
1610,Russula atropurpurea
1611,Russula aurea
1612,Russula aurora
1613,Russula azurea
1614,Russula badia
1615,Russula brunneoviolacea
1616,Russula caerulea
1617,Russula cessans
1618,Russula chloroides
1619,Russula claroflava
1620,Russula cutrefacta
1621,Russula cyanoxantha
1622,Russula decipiens
1623,Russula decolorans
1624,Russula delica
1625,Russula densifolia
1626,Russula emetica
1627,Russula faginea
1628,Russula fellea
1629,Russula foetens
1630,Russula fragilis
1631,Russula grisea
1632,Russula heterophylla
1633,Russula ilicis
1634,Russula illota
1635,Russula integra
1636,Russula ionochlora
1637,Russula juniperina
1638,Russula krombholzii
1639,Russula laeta
1640,Russula langei
1641,Russula laurocerasi
1642,Russula lepida
1643,Russula lutea
1644,Russula melliolens
1645,Russula mesospora
1646,Russula minutula
1647,Russula mustelina
1648,Russula nauseosa
1649,Russula nigricans
1650,Russula nobilis
1651,Russula ochroleuca
1652,Russula olivacea
1653,Russula parazurea
1654,Russula parazurea 
1655,Russula pascua
1656,Russula pectinatoides
1657,Russula persicina
1658,Russula poikilochroa
1659,Russula pseudointegra
1660,Russula puellaris
1661,Russula puellula
1662,Russula quercilicis
1663,Russula risigallina
1664,Russula romellii
1665,Russula rosea
1666,Russula rubra
1667,Russula sanguinea
1668,Russula sardonia
1669,Russula solaris
1670,Russula sororia
1671,Russula subfoetens
1672,Russula subnigricans
1673,Russula torulosa
1674,Russula turci
1675,Russula urens
1676,Russula vesca
1677,Russula veternosa
1678,Russula vinosa
1679,Russula violeipes
1680,Russula virescens
1681,Russula viscida
1682,Russula xerampelina
1683,Sarcodon cyrneus
1684,Sarcodon glaucopus
1685,Sarcodon imbricatus
1686,Sarcodon squamosus
1687,Sarcodontia setosa
1688,Sarcomyxa serotina
1689,Sarcoscypha austriaca
1690,Sarcoscypha coccinea
1691,Sarcosphaera coronaria
1692,Sarcosphaera crassa
1693,Schenella pityophila
1694,Schizophyllum commune
1695,Scleroderma areolatum
1696,Scleroderma bovista
1697,Scleroderma cepa
1698,Scleroderma citrinum
1699,Scleroderma meridionale
1700,Scleroderma polyrhizum
1701,Scleroderma sp
1702,Scleroderma verrucosum
1703,Scutellinia scutellata
1704,Scutellinia trechisperma
1705,Scutellinia trechispora
1706,Scutiger pes-caprae
1707,Sebacina incrustans
1708,Serpula lacrymans
1709,Setulipes quercophilus
1710,Simocybe centunculus
1711,Simocybe rubi
1712,Sistotrema confluens
1713,Skeletocutis amorpha
1714,Sowerbyella imperialis
1715,Sowerbyella rhenana
1716,Sparassis crispa
1717,Sparassis laminosa
1718,Spathularia flavida
1719,Sphaerobolus stellatus
1720,Sphaerosporella brunnea
1721,Spinellus fusiger
1722,Stemonitis  fusca
1723,Stemonitis fusca
1724,Stereum gausapatum
1725,Stereum hirsutum
1726,Stereum illudens
1727,Stereum insignitum
1728,Stereum ochraceo-flavum
1729,Stereum sanguinolentun
1730,Stereum subtomentosum
1731,Strobilomyces strobilaceus
1732,Strobilurus esculentus
1733,Strobilurus esculentus var. griseus
1734,Strobilurus stephanocystis
1735,Strobilurus tenacellus
1736,Stropharia aeruginosa
1737,Stropharia aurantiaca
1738,Stropharia caerulea
1739,Stropharia coronilla
1740,Stropharia cyanea
1741,Stropharia dorsipora
1742,Stropharia hornemannii
1743,Stropharia inuncta
1744,Stropharia rugosoannulata
1745,Stropharia semiglobata
1746,Stropharia squamosa
1747,Stropharia stercoraria
1748,Stropholoma aurantiacum
1749,Suillellus dupainii
1750,Suillellus luridus
1751,Suillellus queletii
1752,Suillellus rhodoxanthus
1753,Suillellus satanas
1754,Suillus bellinii
1755,Suillus bovinus
1756,Suillus collinitus
1757,Suillus flavidus
1758,Suillus granulatus
1759,Suillus grevillei
1760,Suillus grevilleii
1761,Suillus luteus
1762,Suillus mediterraneensis
1763,Suillus tomentosus
1764,Suillus variegatus
1765,Suillus viscidus
1766,Tarzetta catinus
1767,Tarzetta cupularis
1768,Tectella patellaris
1769,Tephrocybe antracophila
1770,Tephrocybe atrata
1771,Tephrocybe palustris
1772,Tephrocybe rancida
1773,Terfezia arenaria
1774,Terfezia claveryi
1775,Terfezia leptoderma
1776,Terfezia magnusii
1777,Terfezia olbiensis
1778,Thelephora palmata
1779,Thelephora terrestris
1780,Tirmania nivea
1781,Tolypocladium capitatum
1782,Tolypocladium ophioglossoides
1783,Tomentella ferruginella
1784,Torrendia pulchella
1785,Trametes gibbosa
1786,Trametes hirsuta
1787,Trametes trogii
1788,Trametes versicolor
1789,Tremella aurantia
1790,Tremella encephala
1791,Tremella foliacea
1792,Tremella fuciformis
1793,Tremella mesenterica
1794,Tremiscus helvelloides
1795,Trichaptum abietinum
1796,Trichaptum biforme
1797,Trichaptum hollii
1798,Trichia botrytis
1799,Trichia decipiens
1800,Trichoderma pulvinatum
1801,Trichoglossum hirsutum
1802,Tricholoma acerbum
1803,Tricholoma albidum
1804,Tricholoma albobrunneum
1805,Tricholoma album
1806,Tricholoma atrosquamosum
1807,Tricholoma auratum
1808,Tricholoma boudieri
1809,Tricholoma bufonium
1810,Tricholoma caligatum
1811,Tricholoma colossus
1812,Tricholoma columbetta
1813,Tricholoma equestre
1814,Tricholoma eucalypticum
1815,Tricholoma filamentosum
1816,Tricholoma flavovirens
1817,Tricholoma focale
1818,Tricholoma fulvum
1819,Tricholoma gausapatum
1820,Tricholoma imbricatum
1821,Tricholoma joachimii
1822,Tricholoma josserandii
1823,Tricholoma lascivum
1824,Tricholoma matsutake
1825,Tricholoma muscarium
1826,Tricholoma myomyces
1827,Tricholoma orirubens
1828,Tricholoma pardinum
1829,Tricholoma pessundatum
1830,Tricholoma populinum
1831,Tricholoma portentosum
1832,Tricholoma prasinochrysum
1833,Tricholoma psammopus
1834,Tricholoma ramentaceum
1835,Tricholoma saponaceum
1836,Tricholoma scalpturatum
1837,Tricholoma sciodes
1838,Tricholoma sejunctum
1839,Tricholoma squarrulosum
1840,Tricholoma sulphureum
1841,Tricholoma terreum
1842,Tricholoma ustale
1843,Tricholoma ustaloides
1844,Tricholoma vaccinum
1845,Tricholoma virgatum
1846,Tricholoma viridifucatum
1847,Tricholomella constricta
1848,Tricholomopsis rutilans
1849,Tricholosporum goniospermum
1850,Trogia venenata
1851,Tubaria cistophila
1852,Tubaria conspersa
1853,Tubaria dispersa
1854,Tubaria furfuracea
1855,Tubaria hiemalis
1856,Tubaria romagnesiana
1857,Tuber aestivum
1858,Tuber borchii
1859,Tuber brumale
1860,Tuber cistophilum
1861,Tuber dryophilum
1862,Tuber excavatum
1863,Tuber ferrugineum
1864,Tuber fulgens
1865,Tuber indicum
1866,Tuber macrosporum
1867,Tuber maculatum
1868,Tuber magnatum
1869,Tuber melanosporum
1870,Tuber mesentericum
1871,Tuber nitidum
1872,Tuber panniferum
1873,Tuber puberulum
1874,Tuber rufum
1875,Tubifera ferruginosa
1876,Tulostoma beccarianum
1877,Tulostoma brumale
1878,Tulostoma cyclophorum
1879,Tulostoma fimbriatum
1880,Turbinellus floccosus
1881,Turbinellus kauffmanii
1882,Tylopilus felleus
1883,Typhrasa gossypina
1884,Typhula contorta
1885,Typhula fistulosa
1886,Tyromyces albidus
1887,Tyromyces caesius
1888,Tyromyces fragilis
1889,Tyromyces stipticus
1890,Tyromyces subcaesius
1891,Urnula rhytidia
1892,Ustilago maydis
1893,Ustulina deusta
1894,Vascellum pratense
1895,Verpa bohemica
1896,Verpa digitaliformis
1897,Volvariella bombycina
1898,Volvariella gloiocephala
1899,Volvariella surrecta
1900,Volvariella volvacea
1901,Volvopluteus gloiocephalus
1902,Wakefieldia macrospora
1903,Xerocomellus chrysenteron
1904,Xerocomus armeniacus
1905,Xerocomus badius
1906,Xerocomus chrysenteron
1907,Xerocomus communis
1908,Xerocomus ferrugineus
1909,Xerocomus ichnusanus
1910,Xerocomus lanatus
1911,Xerocomus parasiticus
1912,Xerocomus porosporus
1913,Xerocomus pulverulentus
1914,Xerocomus ripariellus
1915,Xerocomus rubellus
1916,Xerocomus subtomentosus
1917,Xeromphalina cauticinalis
1918,Xerula longipes
1919,Xerula radicata
1920,Xylaria carpophila
1921,Xylaria filiformis
1922,Xylaria hypoxylon
1923,Xylaria longipes
1924,Xylaria polymorpha
1925,Youngiomyces multiplex
